Entity,Code,Year,Food as share of total consumer expenditure
Algeria,DZA,2017,37.305225
Algeria,DZA,2018,37.270523
Algeria,DZA,2019,37.413
Algeria,DZA,2020,37.54794
Algeria,DZA,2021,37.25587
Angola,AGO,2017,48.524673
Angola,AGO,2018,48.61013
Angola,AGO,2019,48.61122
Angola,AGO,2020,49.338432
Angola,AGO,2021,49.737926
Argentina,ARG,2017,28.278843
Argentina,ARG,2018,28.281788
Argentina,ARG,2019,22.505539
Argentina,ARG,2020,23.08526
Argentina,ARG,2021,23.198097
Australia,AUS,2017,9.302785
Australia,AUS,2018,9.273232
Australia,AUS,2019,9.434489
Australia,AUS,2020,10.805519
Australia,AUS,2021,9.974969
Austria,AUT,2017,9.852731
Austria,AUT,2018,9.822142
Austria,AUT,2019,9.712311
Austria,AUT,2020,9.679411
Austria,AUT,2021,11.312785
Azerbaijan,AZE,2017,38.94116
Azerbaijan,AZE,2018,38.630596
Azerbaijan,AZE,2019,41.4879
Azerbaijan,AZE,2020,43.36695
Azerbaijan,AZE,2021,43.555817
Bahrain,BHR,2017,13.316719
Bahrain,BHR,2018,13.244777
Bahrain,BHR,2019,13.181242
Bahrain,BHR,2020,13.124613
Bahrain,BHR,2021,13.064381
Bangladesh,BGD,2017,53.48792
Bangladesh,BGD,2018,53.52051
Bangladesh,BGD,2019,52.7182
Bangladesh,BGD,2020,53.435543
Bangladesh,BGD,2021,52.749126
Belarus,BLR,2017,32.70292
Belarus,BLR,2018,32.341686
Belarus,BLR,2019,30.262358
Belarus,BLR,2020,31.902212
Belarus,BLR,2021,32.121384
Belgium,BEL,2017,13.383577
Belgium,BEL,2018,13.424372
Belgium,BEL,2019,12.686679
Belgium,BEL,2020,12.659123
Belgium,BEL,2021,13.478635
Bolivia,BOL,2017,29.194366
Bolivia,BOL,2018,29.138767
Bolivia,BOL,2019,29.117083
Bolivia,BOL,2020,29.32577
Bolivia,BOL,2021,29.18861
Bosnia and Herzegovina,BIH,2017,30.727034
Bosnia and Herzegovina,BIH,2018,30.672085
Bosnia and Herzegovina,BIH,2019,28.77897
Bosnia and Herzegovina,BIH,2020,28.515612
Bosnia and Herzegovina,BIH,2021,30.022688
Brazil,BRA,2017,15.727302
Brazil,BRA,2018,15.709493
Brazil,BRA,2019,15.464675
Brazil,BRA,2020,17.289293
Brazil,BRA,2021,16.252525
Bulgaria,BGR,2017,19.189651
Bulgaria,BGR,2018,19.310356
Bulgaria,BGR,2019,18.433598
Bulgaria,BGR,2020,19.648802
Bulgaria,BGR,2021,19.334064
Cambodia,KHM,2017,42.50748
Cambodia,KHM,2018,42.33243
Cambodia,KHM,2019,41.666668
Cambodia,KHM,2020,42.79079
Cambodia,KHM,2021,42.712593
Cameroon,CMR,2017,45.401722
Cameroon,CMR,2018,45.341896
Cameroon,CMR,2019,45.28977
Cameroon,CMR,2020,45.250137
Cameroon,CMR,2021,45.21058
Canada,CAN,2017,9.089214
Canada,CAN,2018,9.055436
Canada,CAN,2019,9.1643305
Canada,CAN,2020,10.610237
Canada,CAN,2021,9.985679
Chile,CHL,2017,16.150988
Chile,CHL,2018,16.018545
Chile,CHL,2019,17.565674
Chile,CHL,2020,17.921295
Chile,CHL,2021,18.504671
China,CHN,2017,21.694975
China,CHN,2018,21.55104
China,CHN,2019,19.36572
China,CHN,2020,21.846012
China,CHN,2021,19.952589
Colombia,COL,2017,19.20925
Colombia,COL,2018,19.215633
Colombia,COL,2019,17.88385
Colombia,COL,2020,18.563904
Colombia,COL,2021,18.59748
Costa Rica,CRI,2017,25.848715
Costa Rica,CRI,2018,25.719498
Costa Rica,CRI,2019,30.634867
Costa Rica,CRI,2020,32.22319
Costa Rica,CRI,2021,31.579697
Cote d'Ivoire,CIV,2017,40.453938
